Price Date,Open Price,High Price,Low Price,Close Price,Trade Value,Number Of Trades,Traded Quantity
01-01-2024,1539,1557,1535.25,1551.35,4348239185,144697,2808451
29-12-2023,1541.05,1559.45,1540,1542.9,6779338989,218692,4388990
28-12-2023,1568.95,1568.95,1555,1562.65,8904844135,236913,5702253
27-12-2023,1544,1570,1544,1567.1,6595135370,182574,4225849
26-12-2023,1535,1548,1523,1543.95,10590506116,306708,6878067
22-12-2023,1534.95,1566,1523,1562.9,10414664839,248721,6741060
21-12-2023,1521.25,1546.65,1521.25,1536,8170301359,234678,5319038
20-12-2023,1565.05,1583.5,1530,1536.4,10293014667,313361,6592367
19-12-2023,1570.1,1573.95,1543.25,1558.3,6573862521,164124,4221721
18-12-2023,1567.95,1593,1560.3,1564.35,10167742673.65,261709,6467243
15-12-2023,1523.05,1588.55,1521,1578.4,28718690706,453100,18395389
14-12-2023,1463.4,1511,1461.35,1501.45,18635369658,315316,12489858
13-12-2023,1476,1476.05,1433.15,1449,12369077226,337694,8549258
12-12-2023,1477.5,1490,1467.65,1476.05,9018001008,184795,6103494
11-12-2023,1490,1498,1482,1488.5,5755686044,147641,3862018
08-12-2023,1470.4,1494.7,1466.25,1491.15,9365681016,202289,6323433
07-12-2023,1472.85,1472.85,1461.8,1465.9,6487293483,137173,4424453
06-12-2023,1456.75,1477,1451.05,1474.3,7727707100,175001,5269178
05-12-2023,1465.8,1466.9,1442,1453.95,7427670191,190424,5123039
04-12-2023,1460.45,1471.9,1449.3,1464.35,8060745711,172254,5511948
01-12-2023,1459.9,1459.9,1446.15,1452.3,5062651362,130850,3489187
30-11-2023,1453.25,1460.65,1449.55,1455.15,14730043835,181568,10120867
29-11-2023,1451.1,1460.7,1449.8,1459.6,5646790254,150433,3875778
28-11-2023,1444,1445,1427.05,1442.7,5392424299,166202,3755373
24-11-2023,1445.55,1452.65,1433.85,1437.4,4281944525.2,92376,2973195
23-11-2023,1467.9,1467.9,1447.7,1449.25,4638517071,102139,3186928
22-11-2023,1436.2,1458.95,1436.2,1457.8,4502747300.2,112434,3108786
21-11-2023,1442,1450,1436.75,1439,5466431358,137793,3793135
20-11-2023,1442,1452,1433.65,1436.6,5160251819,160690,3584210
17-11-2023,1441.05,1451,1435.05,1437.55,7060746837,155046,4901251
16-11-2023,1416.1,1453.4,1410.6,1444.9,9600447549,205547,6673907
15-11-2023,1399,1414,1393,1410.5,11987924651,213458,8551860
13-11-2023,1379.85,1382.45,1370.85,1373.55,4763794427,153816,3462092
12-11-2023,1380.05,1389.1,1380.05,1388.2,793325412.1,41383,572298
10-11-2023,1369.95,1373.15,1361,1368.85,4021487680,126698,2943649
09-11-2023,1395.9,1397.5,1370.05,1374.8,7588483906,215986,5498051
08-11-2023,1405,1405,1386.45,1391,4963220499,105192,3550635
07-11-2023,1400,1405.9,1394.85,1404.3,3185082416,102779,2272209
06-11-2023,1393.9,1407.25,1390.8,1403.3,3823436234,97586,2736381
03-11-2023,1380.05,1392,1377.75,1389.05,4642717150,148758,3349045
02-11-2023,1370,1376.3,1361.65,1370.15,5143812212,146001,3758060
01-11-2023,1373.05,1377.45,1351.65,1354.15,4209455990,143436,3090672
31-10-2023,1379.95,1381.15,1363,1368.4,4725210926,159180,3451595
30-10-2023,1380.35,1380.35,1363.1,1377.05,3666930263,119502,2667696
27-10-2023,1363.65,1385,1363.65,1380.35,6395268362,160477,4634358
26-10-2023,1355.05,1374,1353.1,1359.45,8662778309,249756,6357656
25-10-2023,1399,1402.55,1361.3,1370.05,9558470846,311500,6940777
23-10-2023,1425.6,1432.35,1405.25,1408.65,3737681222,154127,2636516
20-10-2023,1430,1438.5,1425.25,1427.25,5619191744,180553,3928622
19-10-2023,1426.1,1439.65,1426.1,1433.65,9750232109,326099,6795691
18-10-2023,1442,1454,1438.35,1440.55,6168831849,184522,4264837
17-10-2023,1440.25,1453.35,1438.05,1442.45,5669574246,137943,3923764
16-10-2023,1432.1,1443.6,1430,1434.15,6977526909,197297,4850745
13-10-2023,1405,1438,1400,1431.15,25639235717,467156,17973439
12-10-2023,1491.9,1504.4,1452,1465.5,16401229152,304763,11081662
11-10-2023,1497,1518.25,1481.45,1494.4,10842661484,255570,7220129
